ts-morph,templates
11.990ms,0.763ms
14.837ms,0.941ms
6.863ms,0.897ms
16.077ms,1.078ms
6.215ms,1.275ms
5.879ms,0.788ms
6.057ms,0.773ms
6.883ms,0.912ms
6.543ms,0.826ms
5.642ms,0.670ms
9.187ms,1.045ms
13.782ms,0.837ms
8.556ms,1.019ms
6.991ms,0.885ms
7.256ms,1.221ms
7.318ms,1.319ms
12.374ms,9.582ms
6.525ms,1.938ms
6.937ms,1.138ms
15.000ms,1.812ms
7.176ms,1.695ms
9.720ms,3.188ms
15.105ms,3.012ms
8.946ms,4.718ms
6.029ms,1.879ms
5.212ms,1.923ms
5.647ms,1.346ms
5.655ms,1.263ms
8.984ms,1.925ms
5.189ms,1.371ms
5.755ms,0.932ms
5.996ms,3.885ms
5.604ms,0.901ms
5.414ms,1.182ms
5.598ms,1.430ms
6.417ms,1.194ms
12.061ms,1.527ms
7.156ms,1.218ms
11.729ms,1.359ms
6.078ms,1.443ms
7.156ms,1.369ms
10.944ms,1.333ms
14.124ms,5.027ms
8.523ms,1.144ms
9.131ms,2.831ms
8.270ms,1.364ms
6.284ms,1.416ms
5.605ms,1.326ms
14.134ms,1.760ms
7.659ms,1.560ms
5.590ms,0.924ms
5.063ms,1.375ms
5.364ms,0.738ms
9.687ms,1.301ms
9.927ms,0.900ms
6.740ms,0.760ms
7.085ms,0.893ms
9.716ms,1.086ms
6.699ms,0.851ms
6.061ms,0.892ms
6.676ms,1.038ms
15.397ms,1.077ms
10.079ms,1.123ms
6.410ms,0.911ms
11.894ms,0.933ms
14.523ms,1.284ms
7.945ms,0.868ms
6.812ms,5.160ms
7.514ms,1.111ms
5.789ms,1.184ms
9.536ms,2.051ms
9.518ms,1.089ms
8.265ms,1.206ms
9.100ms,2.331ms
9.144ms,9.896ms
7.006ms,1.012ms
7.397ms,1.293ms
7.498ms,1.065ms
15.559ms,0.872ms
7.673ms,1.419ms
10.608ms,1.176ms
9.847ms,2.538ms
10.021ms,0.995ms
7.783ms,1.390ms
32.880ms,1.353ms
7.557ms,1.401ms
7.429ms,1.070ms
6.071ms,12.740ms
8.128ms,1.031ms
15.685ms,1.686ms
7.684ms,1.149ms
7.786ms,1.005ms
7.674ms,1.172ms
16.058ms,1.670ms
11.650ms,2.032ms
28.859ms,1.513ms
5.842ms,1.210ms
7.316ms,9.825ms
11.640ms,1.920ms
8.415ms,1.648ms
5.083ms,0.837ms
9.859ms,1.322ms
8.771ms,1.400ms
7.082ms,1.303ms
6.429ms,1.501ms
6.541ms,1.252ms
5.883ms,6.010ms
9.592ms,1.000ms
9.655ms,2.018ms
6.201ms,1.493ms
5.548ms,0.857ms
5.550ms,1.003ms
7.001ms,3.063ms
5.583ms,0.574ms
14.077ms,0.798ms
13.326ms,0.909ms
9.913ms,0.559ms
9.013ms,0.567ms
5.607ms,0.532ms
9.094ms,0.595ms
5.649ms,0.612ms
5.732ms,0.478ms
5.495ms,0.474ms
8.916ms,0.699ms
7.700ms,0.521ms
5.700ms,0.549ms
11.771ms,0.857ms
6.813ms,0.650ms
5.897ms,0.828ms
6.056ms,0.622ms
9.144ms,0.793ms
9.934ms,0.658ms
5.718ms,0.542ms
